id_query,query
0,when is september
1,when is the end of september
2,when does september start
3,what county is dekalb in
4,hungarian border crossing
5,china pmi
6,where is san diego
7,who is ddlovato
8,who is ddlovato?
9,weather in maricopa county
10,weather in maricopa
11,who is jared fogle
12,what channel is big blue live on
13,what channel is big blue on
14,who is kanye
15,cause of death
16,what is the weather like in september
17,what's the weather in september
18,is hulk hogan racist
19,what is lessig
20,predictive analytics
21,predictive analytics definition
22,what is a protest
23,who is daesh
24,weather in dfw
25,where is periscope
26,what is the weather in baton rouge
27,what is black lives matter
28,what is apec
29,what is the vma
30,weather in auckland nz
31,most embarrassing google searches
32,what's the weather like in september
33,what's happening in africa
34,is same sex marriage legal in kentucky
35,who is bear grylls
36,is gay marriage legal in ky
37,what is periscope live
38,what channel is live on
39,is canada in a recession
40,what tennis tournament is serena williams in
41,who is putin
42,who is tom brady
43,where is puerto rico
44,who wrote this piece
45,weather in bahamas
46,atlantic weather outlook
47,weather forecast atlantic
48,what is fiosny
49,who is joe budden
50,obama administration
51,what is denali
52,what is the new zealand flag
53,who is janet jackson
54,what is new zealand's flag
55,who is fashion police
56,weather in tucson
57,what is happening in china
58,weather in sydney australia
59,weather in sydney
60,who is torae
61,what is eu
62,where is california
63,where is palmyra
64,how old is miley cyrus
65,where is maysan road
66,what channel is periscope live on
67,weather in vancouver
68,where is bel temple
69,what does love mean
70,weather in tampa florida
71,what province is yemen in
72,who is margaretcho
73,who is the last man standing
74,who is melissa rivers
75,who is uber driver
76,what's the weather forecast for tonight
77,who sings bow wow
78,who is richard glossip
79,most unfriendly cities
80,where are human remains found
81,weather in kansas city
82,what is somali
83,jared fogle subway
84,endangered emojis
85,what is transparency
86,weather in canada
87,where is palmyra located
88,endangered emoji
89,weather in scotland today
90,endangered emoji donations
91,is endangered emoji
92,endangered emoji meaning
93,who is wbg
94,who is marvin mandel
95,who is tyler oakley
96,who is burning man
97,where is st louis mo
98,who is the good samaritan
99,who is wes craven
100,when is it september
101,is climate change real
102,is syria destroyed
103,i posted a new photo to facebook
104,west fork fish creek fire
105,where is baltimore
106,new zealand flag
107,who plays for the mets
108,endangered emoticons
109,what county is larimer in
110,who sings happy birthday
111,weather nyc
112,what is climate change
113,what is big blue live
114,hillary clinton
115,what is happening in the tropics
116,who is hardik patel
117,who is endangered emoji
118,weather in new jersey
119,weather in wyoming
120,what is dswd
121,who is little mix
122,where is palmyra syria
123,is september preparedness month
124,who is charles chong
125,is kim davis married
126,most unfriendly cities in the world
127,who is ashley madison
128,who is ashley madison?
129,what is a gopro
130,is trump on immigration
131,is russia a country
132,weather forecast for next few days
133,how is the weather going today
134,who is luke bryan
135,what time is agchat
136,what is apa
137,weather in detroit
138,weather in la
139,weather in pinal county
140,what is iss
141,who is iss
142,who is potus
143,who is alan
144,what's your name
145,what is icymi
146,who is arrested
147,does kanye west run for president
148,who won the grand slam
149,who is sylvia lim
150,who is andrew luck
151,what is the growth rate for india
152,is mount mckinley denali
153,what is a pap
154,who is pritam singh
155,who is kim davis
156,how many refugees did germany receive
157,how many refugees do germany have
158,who is michael jordan
159,what is bridge
160,who is scott walker
161,white house white house
162,is it game day?
163,is it game day
164,what states have legalized marijuana
165,what city is chicago in
166,cool cool cool cool cool cool cool cool cool cool cool cool cool cool cool cool cool cool cool cool cool cool cool cool cool cool cool cool cool cool cool cool cool cool cool cool cool cool cool cool cool cool cool cool cool cool cool cool cool cool cool cool cool cool cool cool cool cool cool cool cool cool cool
167,is this cool
168,who is ortiz
169,longest reigning monarchs
170,longest reigning monarch
171,longest reigning monarch in history
172,who is david ortiz
173,who is the mayor of philly
174,who is david de gea
175,who refused to issue marriage license in kentucky
176,who is miley cyrus?
177,who is miley cyrus
178,who cradled rfk
179,what is the temperature?
180,what is the current weather?
181,weather in cairo
182,weather in anchorage ak
183,weather in ak
184,"weather in anchorage, ak"
185,who is running for president of the united states
186,who do you think you are
187,who is carly fiorina
188,who is amyodell
189,who is bill shorten?
190,who is bill shorten
191,who is apple?
192,where is coquimbo
193,who is deray
194,what weather is it today
195,is apple a company
196,endangered emoji definition
197,what is endangered emoji
198,world hindi conference
199,what county is maryland in
200,who is hillaryclinton
201,weather tomorrow
202,what is the papal visit
203,who is rgiii
204,is gay marriage allowed in ky
205,weather in charleston sc
206,does kentucky have same sex marriage license
207,endangered memes
208,who is johnkasich
209,big blue live
210,what is taliban
211,who is cary fukunaga
212,what team is in preseason
213,does black lives matter
214,what is blacklivesmatter
215,when does it rain?
216,canberra
217,is gay marriage legal in kentucky
218,who is fayose
219,weather forecast for the evening
220,handlebar coffee roasters
221,number of refugees in syria
222,what countries accept refugees
223,what's the temperature today?
224,longest reigning monarch in britain
225,where is calgary
226,who is rglover
227,what's happening
228,what is going on
229,minimum wage in nyc
230,who was peter dutton
231,who was arrested
232,what is a twitter
233,what is bullpen
234,who made the iphone
235,weather in bc
236,who is moses
237,who sings hotline bling
238,who is running for the white house
239,most sustainable restaurants
240,what is endangered emojis
241,"weather in christchurch, nh"
242,weather in christchurch
243,weather in christchurch kentucky
244,who is josh donaldson
245,weather in ni
246,where is taiz
247,who is kylie jenner dating
248,who is kylie jenner's girlfriend
249,what is endangered emoji?
250,who is running for mayor
251,where is apec
252,who is ashley
253,what is ge 2015
254,what team is the bulldogs
255,is kentucky gay or lesbian
256,what is apec?
257,weather in nw
258,endemic emojis
259,how many refugees in germany
260,syrian refugees
261,where is nigeria
262,what color is rainbow
263,who sings el chapo
264,weather in durban africa
265,current weather in durban
266,current temperatures in durban
267,who is china's president?
268,weather in washington today
269,who is rafa
270,hillaryclinton twitter
271,what's going on?
272,restaurant in santa barbara
273,what is the state of emergency
274,who is the trump
275,weather forecast nbc
276,what time is labor day?
277,thank you
278,how to say thank you
279,who is chuck nazty
280,who was attacked
281,endangered emoticon
282,disabled vehicle on i-81
283,who is isis
284,who is kardashian
285,what is endangered emoticon
286,endangered emoji donation
287,what county is mecklenburg in?
288,what channel is big blue live
289,who is fetty wap
290,where is starbucks located
291,what is the pmi in china
292,who is gruber
293,is climate change a threat
294,who is jeffco
295,what are endangered emojis
296,who is walker
297,weather forecast for today
298,weather today in utah
299,vintage feminist jones
300,weather in the evening
301,weather in nyc tonight
302,who is chris christie
303,what is a flood warning
304,who is sanaa lathan
305,who is anthony anderson
306,who is tori kelly
307,what's the weather going to be like
308,what's the weather like
309,is climate change a problem
310,what is pmi
311,who is mike brown
312,where was a police officer shot
313,who is luke
314,where is adelaide
315,what is the weather forecast for fall
316,what does climate change affect
317,what is the weather like in september?
318,who is hillary clinton
319,what channel is narcos on
320,what network is narcos on
321,weather for monday
322,when is accutrack radar on
323,when is accutrack radar on the hour
324,when is accutrack radar hour
325,what obama said about climate change
326,ishant sharma
327,who is the finance minister
328,who is finance minister
329,is it autumn
330,when is august
331,where is manchester
332,who is de gea
333,who is courser
334,what is climate change?
335,what time is psi
336,where was the temple of bel destroyed
